Feature Ranking;Value
feature 8 ;0,021149
feature 16 ;0,015684
feature 36 ;0,015409
feature 26 ;0,014633
feature 0 ;0,012558
feature 17 ;0,012232
feature 24 ;0,011702
feature 67 ;0,01093
feature 2 ;0,010752
feature 1 ;0,010211
feature 73 ;0,009769
feature 72 ;0,00974
feature 46 ;0,00961
feature 68 ;0,00958
feature 13 ;0,009495
feature 3 ;0,009383
feature 153 ;0,009252
feature 55 ;0,009232
feature 62 ;0,008869
feature 48 ;0,008644
feature 9 ;0,008468
feature 38 ;0,008456
feature 56 ;0,00837
feature 40 ;0,00835
feature 12;0,008091
feature 15 ;0,008087
feature 5 ;0,008033
feature 25 ;0,007982
feature 14 ;0,007948
feature 69 ;0,007916
feature 4 ;0,00772
feature 6 ;0,007635
feature 7 ;0,007547
feature 74 ;0,007486
feature 11 ;0,007394
feature 10 ;0,007193
feature 19 ;0,007055
feature 53 ;0,00694
feature 18 ;0,006916
feature 61 ;0,006844
feature 85 ;0,006731
feature 78 ;0,006726
feature 65 ;0,006598
feature 41 ;0,006572
feature 103 ;0,006565
feature 45 ;0,006556
feature 44 ;0,006556
feature 185 ;0,0064
feature 285 ;0,006381
feature 63 ;0,00636
feature 203 ;0,006335
feature 60 ;0,00626
feature 29 ;0,006076
feature 20 ;0,006014
feature 50 ;0,005974
feature 43 ;0,005899
feature 31 ;0,005883
feature 82 ;0,005794
feature 75 ;0,005753
feature 81 ;0,005689
feature 80 ;0,005667
feature 23 ;0,005646
feature 77 ;0,005635
feature 30 ;0,005626
feature 51 ;0,005561
feature 57 ;0,005383
feature 49 ;0,005285
feature 54 ;0,005216
feature 59 ;0,005203
feature 135 ;0,005191
feature 337 ;0,005172
feature 33 ;0,005167
feature 22 ;0,005156
feature 37 ;0,00499
feature 34 ;0,004914
feature 28 ;0,004883
feature 70 ;0,004865
feature 58 ;0,004853
feature 387 ;0,004836
feature 21 ;0,004739
feature 52 ;0,004708
feature 32 ;0,004678
feature 35 ;0,004514
feature 79 ;0,004503
feature 66 ;0,004492
feature 27 ;0,004484
feature 42 ;0,004459
feature 187 ;0,004331
feature 76 ;0,004264
feature 303 ;0,004242
feature 64 ;0,004068
feature 394 ;0,004024
feature 39 ;0,003977
feature 248 ;0,003883
feature 47 ;0,003837
feature 194 ;0,003708
feature 403 ;0,003627
feature 71 ;0,00359
feature 83 ;0,003545
feature 87 ;0,003429
feature 134 ;0,003096
feature 294 ;0,003049
feature 253 ;0,00304
feature 287 ;0,00299
feature 137 ;0,002984
feature 385 ;0,002983
feature 97 ;0,002881
feature 353 ;0,002782
feature 335 ;0,00274
feature 396 ;0,002706
feature 398 ;0,002576
feature 298 ;0,002528
feature 241 ;0,002485
feature 235 ;0,002474
feature 296 ;0,002341
feature 84 ;0,002318
feature 95 ;0,002125
feature 94 ;0,002122
feature 244 ;0,002094
feature 196 ;0,002086
feature 297 ;0,00205
feature 148 ;0,002015
feature 239 ;0,001913
feature 146 ;0,001902
feature 145 ;0,001842
feature 295 ;0,001821
feature 184 ;0,001812
feature 141 ;0,001777
feature 347 ;0,001773
feature 144 ;0,00177
feature 197 ;0,001745
feature 91 ;0,001743
feature 321 ;0,001697
feature 346 ;0,001626
feature 247 ;0,0016
feature 286 ;0,001587
feature 328 ;0,001562
feature 409 ;0,001558
feature 140 ;0,001533
feature 274 ;0,001496
feature 226 ;0,001466
feature 198 ;0,001442
feature 138 ;0,001381
feature 164 ;0,001359
feature 304 ;0,001355
feature 190 ;0,001348
feature 96 ;0,001331
feature 136 ;0,001295
feature 264 ;0,001293
feature 397 ;0,001284
feature 147 ;0,001271
feature 86 ;0,001268
feature 89 ;0,001266
feature 279 ;0,001243
feature 389 ;0,001242
feature 386 ;0,001237
feature 139 ;0,001234
feature 98 ;0,001213
feature 349 ;0,001204
feature 154 ;0,0012
feature 284 ;0,001191
feature 390 ;0,001181
feature 256 ;0,001172
feature 322 ;0,001169
feature 289 ;0,001164
feature 133 ;0,001145
feature 336 ;0,00114
feature 395 ;0,001138
feature 291 ;0,001138
feature 281 ;0,001122
feature 111 ;0,001121
feature 122 ;0,001119
feature 174 ;0,001118
feature 318 ;0,001111
feature 288 ;0,001108
feature 269 ;0,001101
feature 271 ;0,001082
feature 192 ;0,001065
feature 191 ;0,001057
feature 405 ;0,001049
feature 232 ;0,001049
feature 323 ;0,001039
feature 234 ;0,001036
feature 378 ;0,001017
feature 150 ;0,001015
feature 142 ;0,000994
feature 423 ;0,00099
feature 246 ;0,000976
feature 404 ;0,000975
feature 424 ;0,000972
feature 290 ;0,000968
feature 100 ;0,000963
feature 101 ;0,000951
